"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"C00345","6-Phosphogluconic acid","HMDB0001316","91493","48928","C00345","367","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"C05382","D-Sedoheptulose 7-phosphate","HMDB0001068","92042786","133983","C05382","5980","OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C00364","5-Thymidylic acid","HMDB0001227","9700","17013","C00364","6092","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00055","Cytidine monophosphate","HMDB0000095","6131","17361","C00055","5143","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00575","Cyclic AMP","HMDB0000058","6076","17489","C00575","5120","[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N","1"
"C00354","beta-D-Fructose 1,6-bisphosphate","HMDB0060444","445557","16905","C00354","147","O[C@H]1[C@H](O)[C@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O","1"
"C00942","Cyclic GMP","HMDB0001314","24316","16356","C00942","6152","NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C00130","Inosinic acid","HMDB0000175","8582","17202","C00130","5196","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"C00144","Guanosine monophosphate","HMDB0001397","6804","17345","C00144","6216","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"C00010","Coenzyme A","HMDB0001423","87642","15346","C00010","6235","CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS","1"
"C00119","Phosphoribosyl pyrophosphate","HMDB0000280","7339","17111","C00119","5274","O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O","1"
"C00363","dTDP","HMDB0001274","164628","18075","C00363","6129","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00112","CDP","HMDB0001546","6132","17239","C00112","6313","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00015","Uridine 5'-diphosphate","HMDB0000295","6031","17659","C00015",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00024","Acetyl-CoA","HMDB0001206","444493","15351","C00024","6082","CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"C00083","NA","NA","NA","NA","NA","NA","NA","0"
"C00008","ADP","HMDB0001341","6022","16761","C00008","6175","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00035","Guanosine diphosphate","HMDB0001201","8977","17552","C00035","6077","NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00458","dCTP","HMDB0000998","65091","16311","C00458","5929","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"C00459","Thymidine 5'-triphosphate","HMDB0001342","64968","18077","C00459",NA,"CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00063","Cytidine triphosphate","HMDB0000082","6176","17677","C00063","5136","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00075","Uridine triphosphate","HMDB0000285","6133","15713","C00075","5277","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00131","Deoxyadenosine triphosphate","HMDB0001532","15993","16284","C00131","6303","NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"C00002","Adenosine triphosphate","HMDB0000538","5957","15422","C00002","5523","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00044","Guanosine triphosphate","HMDB0001273","6830","15996","C00044","6128","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"C00003","NADH","HMDB0000902","5893","44215","C00003","5858","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"C00006","NADPH","HMDB0000217","5886","44409","C00006","5227","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"C00037","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"C00134","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"C00213","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"C00041","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"C00133","D-Alanine","HMDB0001310","71080","15570","C00133",NA,"C[C@@H](N)C(O)=O","1"
"C01401","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)","HMDB0062251","602","16449","C01401",NA,"CC(N)C(O)=O","1"
"C00099","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"C00571","Cyclohexylamine","HMDB0031404","7965","15773","C00571",NA,"NC1CCCCC1","1"
"C01026","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"C00334","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"C00114","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"C00065","L-Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"C00716","2-Amino-3-hydroxypropanoic acid","HMDB0062263","617","17822","C00716",NA,"NC(CO)C(=O)O","1"
"C00740","D-Serine","HMDB0003406","71077","16523","C00740","6920","N[C@H](CO)C(O)=O","1"
"C00380","Cytosine","HMDB0000630","597","16040","C00380","283","NC1=CC=NC(=O)N1","1"
"C00791","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"C00148","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"C00763","D-Proline","HMDB0003411","8988","16313","C00763",NA,"OC(=O)[C@H]1CCCN1","1"
"C16435","NA","NA","NA","NA","NA","NA","NA","0"
"C00183","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"C06417","NA","NA","NA","NA","NA","NA","NA","0"
"C16436","2-Amino-3-methylbutanoic acid",NA,"1182","27266","C16436",NA,"CC(C)C(N)C(=O)O","1"
"C00719","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC([O-])=O","1"
"C00263","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","N[C@@H](CCO)C(O)=O","1"
"C00188","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"C00820","NA","NA","NA","NA","NA","NA","NA","0"
"C00576","Betaine aldehyde","HMDB0001252","249","15710","C00576","278","C[N+](C)(C)CC=O","1"
"C00097","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"C00736","NA","NA","NA","NA","NA","NA","NA","0"
"C00793","D-Cysteine","HMDB0003417","92851","16375","C00793",NA,"N[C@H](CS)C(O)=O","1"
"C01015","4-Hydroxy-L-proline","HMDB0006055","69248","18240","C01015",NA,"C1[C@H](NCC1O)C(=O)O","1"
"C01157","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"C00300","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"C00123","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"C01570","D-Leucine","HMDB0013773","439524","28225","C01570",NA,"CC(C)C[C@@H](N)C(O)=O","1"
"C16439","2-Amino-4-methylpentanoic acid","HMDB0062203","857","25017","C16439",NA,"CC(C)CC(N)C(=O)O","1"
"C00407","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"C06418","NA","NA","NA","NA","NA","NA","NA","0"
"C16434","(±)-erythro-Isoleucine","HMDB0033923","791","38264","C16434","5193","CCC(C)C(N)C(O)=O","1"
"C00152","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"C01905","D-Asparagine","HMDB0033780","439600","28159","C01905",NA,"N[C@H](CC(N)=O)C(O)=O","1"
"C16438","NA","NA","NA","NA","NA","NA","NA","0"
"C00077","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"C00515","D-Ornithine","HMDB0003374","71082","16176","C00515","6910","NCCC[C@@H](N)C(O)=O","1"
"C01602","L-Ornithine monochlorohydrate/ornithine","HMDB32455","389","18257","C01602",NA,"C(CC(C(=O)O)N)CN","1"
"C00049","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"C00402","D-Aspartic acid","HMDB0006483","83887","17364","C00402","15","N[C@H](CC(O)=O)C(O)=O","1"
"C16433","1-deoxy-1-(N6-lysino)-D-fructose","HMDB0062186","424","22660","C16433",NA,"N[C@@H](CCCCNC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O)C(O)=O","1"
"C00147","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"C00262","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"C00108","2-Aminobenzoic acid","HMDB0001123","227","30754","C00108","6018","NC1=CC=CC=C1C(O)=O","1"
"C00483","Tyramine","HMDB0000306","5610","15760","C00483","60","NCCC1=CC=C(O)C=C1","1"
"C00315","Spermidine","HMDB0001257","1102","16610","C00315","254","NCCCCNCCCN","1"
"C00064","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"C00303","Majoroside F6","HMDB0030886","131751089",NA,"C00303",NA,"CC1OC(OC2C(O)C(O)C(CO)OC2OC2CC3(C)C(CC(O)C4C(CCC34C)C(C)(C\C=C\C(C)(C)O)OC3OC(CO)C(O)C(O)C3O)C3(C)CCC(O)C(C)(C)C23)C(O)C(O)C1O","1"
"C00819","D-Glutamine","HMDB0003423","145815","17061","C00819","6926","N[C@H](CCC(N)=O)C(O)=O","1"
"C00047","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"C00739","D-Lysine","HMDB0003405","57449","16855","C00739","6919","NCCCC[C@@H](N)C(O)=O","1"
"C16440","2,6-diaminohexanoic acid","HMDB0142894","866","25094","C16440",NA,"NCCCCC(N)C(O)=O","1"
"C00025","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"C00217","D-Glutamic acid","HMDB0003339","23327","15966","C00217","6895","N[C@H](CCC(O)=O)C(O)=O","1"
"C00302","DL-Glutamate","HMDB0060475","611","18237","C00302",NA,"NC(CCC(O)=O)C(O)=O","1"
"C00073","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"C00855","D-Methionine",NA,"4112","16867","C00855",NA,NA,"1"
"C01733","Racemethionine","HMDB0033951","876","16811","C01733",NA,"CSCCC(N)C(O)=O","1"
"C00242","Guanine","HMDB0000132","764","16235","C00242","315","NC1=NC(=O)C2=C(N1)N=CN2","1"
"C00135","L-Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C00768","NA","NA","NA","NA","NA","NA","NA","0"
"C06419","NA","NA","NA","NA","NA","NA","NA","0"
"C05568","Imidazole lactate","METPA0616",NA,"24773","C05568",NA,NA,"1"
"C00079","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"C02057","NA","NA","NA","NA","NA","NA","NA","0"
"C02265","D-Phenylalanine","METPA0264",NA,"16998","C02265",NA,NA,"1"
"C00062","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"C00792","D-Arginine","HMDB0003416","71070","15816","C00792","6924","N[C@H](CCCNC(N)=N)C(O)=O","1"
"C00327","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"C00082","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"C01536","6-Hydroxysandoricin","HMDB0037556","1153","18186","C01536",NA,"COC(=O)C(O)C1C(C)(C)C(CC2OC34C(O)C(=O)OC(C5=COC=C5)C3(C)C(CC(C4=C)C12C)OC(C)=O)OC(C)=O","1"
"C06420","NA","NA","NA","NA","NA","NA","NA","0"
"C00750","Spermine","HMDB0001256","1103","15746","C00750","255","NCCCNCCCCNCCCN","1"
"C00078","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"C00525","D-Tryptophan","HMDB0013609","9060","16296","C00525",NA,"N[C@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"C00806","Alanyltryptophan","HMDB0013209","85362","73808","C00806",NA,"C[C@H](N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"C00386","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C00214","Thymidine","HMDB0000273","5789","17748","C00214","3375","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"C00475","Cytidine","HMDB0000089","6253","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"C00299","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00212","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C00294","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"C00387","Guanosine","HMDB0000133","6802","16750","C00387","87","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","1"
"C00127","Oxidized glutathione","HMDB0003337","65359","17858","C00127","6893","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"C00051","Glutathione","HMDB0062697","745","57925","C00051",NA,"NC(CCC(O)=NC(CS)C(O)=NCC(O)=O)C(O)=O","1"
"C00019","S-Adenosylmethionine","HMDB0001185","34756","15414","C00019","6064","C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
