	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
42	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	LC/MS Neg	100000924	6650	281.2486	111-03-5	5283468		HMDB11567
43	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	LC/MS Neg	100008952	6094	253.2173		.		HMDB11565
44	1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	LC/MS Neg	100000827	6550	255.2329	542-44-9	14900		HMDB31074
45	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001668	2006	259.0925	29605-99-0	5117448	C05131	HMDB02331
46	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100010869	787	133.0506	14868-24-7	301941		HMDB29576
47	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	LC/MS Polar	100002417	1050	133.0506	1756-18-9	677	C04039	HMDB12141
48	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	LC/MS Neg	100001999	3935	245.0671	1164-98-3	134595		
49	2-aminobutyrate	Amino Acid	Glutathione Metabolism	LC/MS Pos Early	1128	2059	104.0706	1492-24-6	439691	C02261	HMDB00650
50	2-aminoheptanoate	Lipid	Fatty Acid, Amino	LC/MS Neg	100004542	2384	144.103	1115-90-8	227939		
51	2-aminooctanoate	Lipid	Fatty Acid, Amino	LC/MS Pos Late	100004227	750	160.1332	644-90-6	69522		HMDB00991
52	2-aminophenol sulfate	Xenobiotics	Chemical	LC/MS Neg	100004322	1677	188.0023		181670		HMDB61116
53	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	536	1586	111.02	951-78-0	13712	C00526	HMDB00012
54	2-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001809	3416	201.0227		.		
55	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100001541	1800	131.0714	488-15-3	164623		HMDB00317
56	2-hydroxyarachidate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100019892	5990	327.2905		5225199		
57	2-hydroxybehenate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100015637	6384	355.3218		193484		
58	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	LC/MS Polar	100008928	1258	103.0401		.		
59	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100004089	4840	187.134	5393-81-7	21488		
60	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Pos Early	100002070	958	131.0339	40951-21-1	43	C02630	HMDB00606
61	2-hydroxyheptanoate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Polar	100019960	925	145.087		2750949		
62	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	1869	2184	194.0459	487-54-7	10253	C07588	HMDB00840
63	2-hydroxyibuprofen	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	100004169	3462	221.1183	51146-55-5	10443535		HMDB60920
64	2-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100008934	5211	215.1653	2984-55-6	97783		
65	2-hydroxynervonate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100015638	6345	381.3374		5312783		
66	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000743	3736.8	159.1027	617-73-2	94180		HMDB02264
67	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001579	5511.2	271.2279	764-67-0	92836		HMDB31057
68	2-hydroxyphytanate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100004414	5751	327.2905	14721-68-7	189026		
69	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	1239	5695	299.2592	629-22-1	69417	C03045	
70	2-isopropylmalate	Xenobiotics	Food Component/Plant	LC/MS Polar	100000409	2605	175.0612	3237-44-3	77	C02504	HMDB00402
71	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	LC/MS Neg	100000987	6250	279.2329	3443-82-1	5365676		HMDB11538
72	2-methoxyacetaminophen glucuronide*	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	100001795	1633	356.0987		14367271		
73	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	100001793	1949	260.0234		86290014		
74	2-methoxyresorcinol sulfate	Xenobiotics	Chemical	LC/MS Neg	100006184	1863	218.9969	1446269-78-8	.		
75	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Pos Early	100001509	3050	246.17	31023-25-3	6426901		HMDB00378
76	2-methylcitrate	Energy	TCA Cycle	LC/MS Pos Early	90	1370	224.0765	6061-96-7	439681	C02225	HMDB00379
77	2-methylserine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Pos Early	100009246	1652	120.0655		94309	C02115	
78	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	LC/MS Neg	100000943	6500	281.2486	3443-84-3	5319879		HMDB11537
79	2'-O-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	100010895	2411	258.1085	2140-72-9	150971		
80	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100010896	1831	257.0779	2140-76-3	102212		
81	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100003109	2378	192.0655	2971-31-5	3080590		HMDB35514
82	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100002784	1760	174.0873	3715-10-04 00:00:00	558	C03771	HMDB04225
83	2-piperidinone	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100004295	1675	100.0757	675-20-7	12665		HMDB11749
84	2-propyl-2-pentenoate (2-ene-valproate)	Xenobiotics	Drug - Neurological	LC/MS Neg	100015981	3874	141.0921	60218-41-9	6437068	C16653	HMDB13902
85	2-propyl-4-pentenoate (4-ene-valproate)	Xenobiotics	Drug - Neurological	LC/MS Neg	100005952	3436	141.0921	1575-72-0	104896		
86	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001624	1980	165.0557	621-54-5	91	C11457	HMDB00375
87	3-(4-hydroxyphenyl)lactate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	240	1379	181.0506	6482-98-0	9378	C03672	HMDB00755
88	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Pos Early	100001797	2420	271.0747		5233914		
89	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	2048	2094	311.0707	52372-86-8	83967		
90	3,4-methyleneheptanoate	Xenobiotics	Food Component/Plant	LC/MS Neg	100006651	3807	141.0921		.		
91	3,4-methyleneheptanoylcarnitine	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Neg	100009234	4096	346.1871		.		
92	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	LC/MS Pos Early	1114	2190	104.0706	10569-72-9;214139-20-5	64956	C05145	HMDB03911
93	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	LC/MS Neg	100006370	5398	415.3218	6561-58-6	165511	C17333	
94	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100004182	5205	373.2748	5255-17-4	92997		HMDB00308
95	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100020004	4000	267.1238		194501		
96	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100001178	2800	239.0925	86879-39-2	123979		HMDB61112
97	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100001170	975	117.0557	4374-62-3	188979		HMDB00396
98	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	LC/MS Polar	112	2850	161.0456	503-49-1	1662	C03761	HMDB00355
99	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	LC/MS Polar	254	1444	103.0401	625-72-9	441	C01089	HMDB00357
100	3-hydroxybutyrylcarnitine (1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Early	100003926	2400	248.1493		53481617		HMDB13127
101	3-hydroxybutyrylcarnitine (2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Early	100009271	2340	248.1493		.		HMDB13127
102	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000997	4634.7	187.134	5561-87-5	26612		HMDB02203
103	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100006367	1725	131.0714	10191-24-9	151492		
104	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100002122	1687	194.0459	1637-75-8	450268		HMDB06116
105	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	111	1619	103.0401	2068-83-9	87	C06001	HMDB00336
106	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001112	5175	215.1653	53941-38-1	94216		HMDB00387
107	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000773	3446	159.1027	88930-08-9	26613		HMDB01954
108	3-hydroxypyridine sulfate	Xenobiotics	Chemical	LC/MS Neg	100006098	1595.5	173.9867	1955-23-3	.		
109	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001145	1282	217.1081	73141-46-5	3017884		HMDB00350
110	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100020203	1049	160.0968		442640		
111	3-hydroxyvalproate	Xenobiotics	Drug - Neurological	LC/MS Pos Early	100015977	3237	143.1067	58888-84-9	134459	C16651	HMDB13899
112	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100000467	2222.2	212.0023	2642-37-7	10258		HMDB00682
113	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100006375	2163	218.9969		.		
114	3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100006376	2200	218.9969		.		
115	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	LC/MS Pos Early	1342	2555	212.0917	300-48-1	1670		HMDB01434
116	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100004112	2790	203.002		.		
117	3-methyl catechol sulfate (2)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100004110	2860	203.002		.		
118	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000936	1465	115.0401	3715-29-5	49	C00141	HMDB00019
119	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000036	2064.2	129.0557	1460-34-0;51829-07-3	47	C00671	HMDB03736
120	3-methylglutarate/2-methylglutarate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100010834	2832	145.0506		.		HMDB00752
121	3-methylglutarylcarnitine (2)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Pos Early	100005850	2687	290.1598		128145		HMDB00552
122	3-methylhistidine	Amino Acid	Histidine Metabolism	LC/MS Neg	100000042	906.3	168.0779	368-16-1	64969	C01152	HMDB00479
123	3-methylxanthine	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001108	1700	165.0418	1076-22-8	70639	C16357	HMDB01886
124	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100000010	2860	149.0608	501-52-0	107	C05629	HMDB00764
125	3-phosphoglycerate	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	LC/MS Pos Early	132	590	187.0002	80731-10-8	724	C00597	HMDB00807
126	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Pos Early	1053	875	133.0608	462-88-4	111	C02642	HMDB00026
127	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	1113	1350	146.0812	3025-96-5	18189	C02946	HMDB03681
128	4-acetamidophenol	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	1383	2173.7	150.0561	103-90-2	1983	C06804	HMDB01859
129	4-acetamidophenylglucuronide	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	100000043	1400	326.0881	120595-80-4	83944		HMDB10316
130	4-acetaminophen sulfate	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	2049	1792	230.0129	10066-90-7;32113-41-0	83939	C06804	HMDB59911
131	4-acetylphenol sulfate	Xenobiotics	Drug - Other	LC/MS Neg	100000711	2375	215.002		4684006		
132	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100001868	3805	213.0227		.		
133	4-cholesten-3-one	Lipid	Sterol	LC/MS Pos Late	100002227	2520	385.3465	601-57-0	91477	C00599	HMDB00921
134	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001756	3580	201.0227	123-07-9	.	C13637	
135	4-guanidinobutanoate	Amino Acid	Drug - Cardiovascular	LC/MS Pos Early	100000096	2320	146.0924	463-003;463-00-3	500	C01035	HMDB03464
136	4-hydroxy-2-oxoglutaric acid	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100002537	3073	161.0092	1187-99-1	599	C01127	HMDB02070
137	4-hydroxychlorothalonil	Xenobiotics	Chemical	LC/MS Neg	100006082	4427	244.9082	28343-61-5	34217		
138	4-hydroxycoumarin	Xenobiotics	Drug - Cardiovascular	LC/MS Neg	100002049	2470	161.0244	1076-38-6	54682930	C20414	
139	4-hydroxyglutamate	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	100002544	1141	164.0554	2485-33-8	439902	C03079	HMDB01344
140	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001423	1475	194.0459	2482-25-9	151012		HMDB13678
141	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	1141	1690	179.035	156-39-8	979	C01179	HMDB00707
142	4-imidazoleacetate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001207	2055	127.0502	645-65-8	96215	C02835	HMDB02024
143	4-methoxyphenol sulfate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	100006262	2412	203.002	3233-60-1	.		
144	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000551	2170	129.0557	816-66-0	70	C00233	HMDB00695
145	4-methylbenzenesulfonate	Xenobiotics	Chemical	LC/MS Neg	100002390	2350	171.0121	104-15-4	6101	C06677	
146	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100004111	2665	203.002		.		
147	4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100006105	2978	217.0176	756760-43-7	.		
148	4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100006126	3354	229.0176		.		
149	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001755	3320	199.0071	2628-17-3	6426766	C05627	HMDB04072
150	5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	LC/MS Pos Early	100002462	2755	325.1606	32448-36-5	.		
151	5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing	LC/MS Neg	158	1637.8	127.0513	696-04-8	93556	C00906	HMDB00079
152	5,6-dihydrouracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	1125	1120	113.0357	504-07-4	649	C00429	HMDB00076
153	5,6-dihydrouridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100001425	1119	245.0779	5627-05-04 00:00:00	94312		
154	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	LC/MS Polar	100001403	1710	197.068	1196153-01-1	88299	C16366	HMDB04400
155	5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Androgenic Steroids	LC/MS Neg	100001987	3880	225.0697	571-20-0	242332	C12525	HMDB00493
156	5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Progestin Steroids	LC/MS Neg	100001988	3962	239.0853		.		
157	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	Lipid	Progestin Steroids	LC/MS Neg	100002014	5060	399.2211		.		
158	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Lipid	Progestin Steroids	LC/MS Neg	100002009	5180	399.2211		.		
159	5-bromotryptophan	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100009338	3525	280.9931		96735		
160	5-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001148	1267	131.0714	44843-89-2	170748		HMDB00525
161	5-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100009042	1928	212.0023		.		
162	5-hydroxylysine	Amino Acid	Lysine Metabolism	LC/MS Pos Early	100000054	2790	163.1077	13204-98-3	1029	C16741	HMDB00450
163	5-hydroxyvalproate	Lipid	Fatty Acid, Monohydroxy	LC/MS Pos Early	100015980	2978	143.1067	53660-23-4	135244	C16650	HMDB13898
164	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	212	2752	298.0968	2457-80-9	439176	C00170	HMDB01173
165	5-methylthioribose**	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	100002103	790	181.0529	23656-67-9	494		HMDB01087
166	5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100001446	1778.1	257.0779	1463-10-1	445408		HMDB00884
167	5-oxoproline	Amino Acid	Glutathione Metabolism	LC/MS Neg	1021	738.5	128.0353	98-79-3	7405	C01879	HMDB00267
168	6-hydroxyindole sulfate	Xenobiotics	Chemical	LC/MS Neg	100006260	2498	212.0023		.		
169	6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	LC/MS Neg	100004499	965	142.051	34622-39-4	3014237		HMDB61705
170	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Lipid	Sterol	LC/MS Neg	100001609	5288.1	429.301	115538-85-7	3081085	C17337	HMDB12458
171	7-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100009043	1765	212.0023		.		
172	7-methylguanine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Pos Early	100001456	2175	166.0723	578-76-7	11361	C02242	HMDB00897
173	7-methylxanthine	Xenobiotics	Xanthine Metabolism	LC/MS Pos Early	100001396	1350	167.0564	552-62-5	68374	C16353	HMDB01991
174	9,10-DiHOME	Lipid	Fatty Acid, Dihydroxy	LC/MS Neg	179	5180	313.2384	263399-34-4	9966640	C14828	HMDB04704
175	9-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100005834	5384	299.2592	25498-28-6	9570127		HMDB61661
176	acesulfame	Xenobiotics	Food Component/Plant	LC/MS Neg	100006203	1581	161.9867	55589-62-3	36573		HMDB33585
177	acetylcarnitine (C2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Early	100000802	2282	204.123	5080-50-2	1	C02571	HMDB00201
178	acisoga	Amino Acid	Polyamine Metabolism	LC/MS Neg	100004541	2297	183.1139	106692-36-8	129397		
179	aconitate [cis or trans]	Energy	TCA Cycle	LC/MS Neg	100001359	580	173.0092		.		
180	adenine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	880	2221	136.0618	73-24-5	190	C00147	HMDB00034
181	adenosine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Neg	798	2075.4	134.0472	58-61-7	60961	C00212	HMDB00050
182	adipate (C6-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100000863	3000	145.0506	124-04-9	196	C06104	HMDB00448
183	adipoylcarnitine (C6-DC)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Early	100006614	2570	290.1598		71296139		HMDB61677
184	Fibrinopeptide A, phosphono-ser(3)*	Peptide	Fibrinogen Cleavage Peptide	LC/MS Neg	100001324	2016	806.8185	886023-52-5	.		
185	adrenoylcarnitine (C22:4)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015850	1415	476.3734		.		
186	Fibrinopeptide A*	Peptide	Fibrinogen Cleavage Peptide	LC/MS Neg	100001322	2474	766.8353	25422-31-5	16133137		
187	alanine	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	811	1700	90.055	56-41-7	5950	C00041	HMDB00161
188	allantoin	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	LC/MS Polar	1002	1672	157.0367	97-59-6	204	C02350	HMDB00462
189	alliin	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100003473	1470	178.0532	556-27-4	87310	C08265	HMDB33592
190	alpha-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100002206	4045	277.1445	4072-32-6	9943542		HMDB01518
191	alpha-CEHC sulfate	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100005972	3090	357.1013		.		
192	alpha-hydroxycaproate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001723	1920	131.0714	6064-63-7	99824		HMDB01624
193	alpha-hydroxyisocaproate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000706	1840	131.0714	10303-64-7	83697	C03264	HMDB00746
194	alpha-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100001300	1126	117.0557	600-37-3	99823		HMDB00407
195	alpha-ketobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Polar	796	940	101.0244	600-18-0	58	C00109	HMDB00005
196	alpha-ketoglutaramate**	Amino Acid	Glutamate Metabolism	LC/MS Polar	100002397	1916	144.0302	18465-19-5	.		
197	alpha-ketoglutarate	Energy	TCA Cycle	LC/MS Polar	93	2700	145.0143	305-72-6;328-50-7;22202-68-2	51	C00026	HMDB00208
198	alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Pos Late	1105	2522	430.3782	59-02-9;10191-41-0	14985	C02477	HMDB01893
199	amoxicillin	Xenobiotics	Drug - Antibiotic	LC/MS Neg	100008962	2365	364.0973	26787-78-0	2171	C06827	HMDB15193
200	adenosine 5'-monophosphate (AMP)	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	209	1013	348.0704	149022-20-8	6083	C00020	HMDB00045
201	andro steroid monosulfate C19H28O6S (1)*	Lipid	Androgenic Steroids	LC/MS Neg	100002152	3871	383.1534		.	C04555	HMDB02759
202	androstenediol (3alpha, 17alpha) monosulfate (2)	Lipid	Androgenic Steroids	LC/MS Neg	100002026	4712	369.1741		.		
203	androstenediol (3alpha, 17alpha) monosulfate (3)	Lipid	Androgenic Steroids	LC/MS Neg	100002027	5180	369.1741		.		
204	androstenediol (3beta,17beta) disulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100001992	3740	224.0618		87120982	C04295	HMDB03818
205	androstenediol (3beta,17beta) disulfate (2)	Lipid	Androgenic Steroids	LC/MS Neg	100001994	4065	224.0624		87120982	C04295	HMDB03818
206	androstenediol (3beta,17beta) monosulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100002028	4535	369.1741	521-17-5	13847309		HMDB03818
207	androstenediol (3beta,17beta) monosulfate (2)	Lipid	Androgenic Steroids	LC/MS Neg	100002029	4500	369.1741		.		
208	androsterone glucuronide	Lipid	Androgenic Steroids	LC/MS Neg	100002761	4953	465.2494	1852-43-3	114833	C11135	HMDB02829
209	androsterone sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100001073	5022	369.1741	2479-86-9	159663		HMDB02759
210	arabinose	Carbohydrate	Pentose Metabolism	LC/MS Polar	828	1804.5	195.051	28697-53-2	66308	C00216	HMDB00646
211	arabitol/xylitol	Carbohydrate	Pentose Metabolism	LC/MS Polar	100006430	1932.4	151.0612		6912	C01904	
212	arabonate/xylonate	Carbohydrate	Pentose Metabolism	LC/MS Polar	100006115	2700	165.0405		.		
213	arachidonoylcarnitine (C20:4)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015837	1353	448.3422		.		
