	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
87	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	LC/MS Pos Late	100001271	1606	524.3711	19420-57-6	497299		HMDB10384
88	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	LC/MS Pos Late	100001461	1626	482.3241	69747-55-3	9547068		HMDB11130
89	1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	LC/MS Neg	100001462	5816	511.3041		.		
90	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	LC/MS Neg	100000656	5794	599.3202	796963-93-4	.		HMDB61696
91	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	LC/MS Neg	100004327	5800	524.2994		9547101		
92	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	100010869	1318	133.0506	14868-24-7	301941		HMDB29576
93	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	LC/MS Polar	100002417	1050	133.0506	1756-18-9	677	C04039	HMDB12141
94	2,3-dimethylsuccinate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	100000849	2800	145.0506	13545-04-5	11848		
95	2,4,6-trihydroxybenzoate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001718	1574	169.0142	83-30-7	66520		HMDB29649
96	2,4-dihydroxyhydrocinnamate	Xenobiotics	Chemical	LC/MS Neg	100005258	1759	181.0506	5631-68-5	96384		
97	2,8-quinolinediol	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100004206	2514	162.055	15450-76-7	97250	C06342	
98	2,8-quinolinediol sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100004321	2612	239.9972		.		
99	21-hydroxypregnanolone monosulfate (1)	Lipid	Pregnenolone Steroids	LC/MS Neg	100020547	4922	413.2003		.		
100	2-acetamidobutanoate	Xenobiotics	Bacterial/Fungal	LC/MS Polar	100009237	1340	144.0666		306107		
101	2-aminoadipate	Amino Acid	Lysine Metabolism	LC/MS Pos Early	381	1912	162.0761	542-32-5;1118-90-7	469	C00956	HMDB00510
102	2-aminobutyrate	Amino Acid	Glutathione Metabolism	LC/MS Pos Early	1128	2059	104.0706	1492-24-6	439691	C02261	HMDB00650
103	2-aminophenol	Amino Acid	Tryptophan Metabolism	LC/MS Pos Early	100002382	2644	110.06	95-55-6	5801	C01987	
104	2-aminophenol sulfate	Xenobiotics	Chemical	LC/MS Neg	100004322	1677	188.0023		181670		HMDB61116
105	2'-deoxyadenosine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	211	2252	252.1091	16373-93-6	13730	C00559	HMDB00101
106	2'-deoxycytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	100000125	2193	228.0979	951-77-9	13711	C00881	HMDB00014
107	2'-deoxyguanosine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Neg	348	1751	266.0895	961-07-9	187790	C00330	HMDB00085
108	2'-deoxyinosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	LC/MS Neg	100000135	1688	251.0786	890-38-0	65058	C05512	HMDB00071
109	2-deoxyribose	Carbohydrate	Pentose Metabolism	LC/MS Pos Early	909	764	117.0546	533-67-5	22833604	C01801	HMDB03224
110	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	536	1586	111.02	951-78-0	13712	C00526	HMDB00012
111	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100001541	1800	131.0714	488-15-3	164623		HMDB00317
112	2-hydroxyadipate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100001153	3000	161.0455	18294-85-4	193530	C02360	HMDB00321
113	2-hydroxyarachidate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100019892	5990	327.2905		5225199		
114	2-hydroxybehenate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100015637	6384	355.3218		193484		
115	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	LC/MS Polar	100008928	1258	103.0401		.		
116	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100004089	4840	187.134	5393-81-7	21488		
117	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Pos Early	100002070	958	166.071	40951-21-1	43	C02630	HMDB00606
118	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	1869	2184	194.0459	487-54-7	10253	C07588	HMDB00840
119	2-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100008934	5211	215.1653	2984-55-6	97783		
120	2-hydroxylignocerate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100019894	6805	383.3531		102430	C17873	HMDB39540
121	2-hydroxymyristate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001180	5364	243.1966	2507-55-3	1563	C13790	HMDB02261
122	2-hydroxynervonate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100015638	6345	381.3374		5312783		
123	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001579	5511.2	271.2279	764-67-0	92836		HMDB31057
124	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	1239	5695	299.2592	629-22-1	69417	C03045	
125	2-isopropylmalate	Xenobiotics	Food Component/Plant	LC/MS Polar	100000409	2605	175.0612	3237-44-3	77	C02504	HMDB00402
126	2-keto-3-deoxy-gluconate	Xenobiotics	Food Component/Plant	LC/MS Polar	100005946	1900	177.0405	17510-99-5	161227	C00204	HMDB01353
127	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	LC/MS Neg	100000987	6250	279.2329	3443-82-1	5365676		HMDB11538
128	2-methylcitrate/homocitrate	Energy	TCA Cycle	LC/MS Neg	100008929	575	205.0354		.		
129	2-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	LC/MS Neg	100001408	6230	227.2016	27214-38-6	137938		HMDB11530
130	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	LC/MS Neg	100000943	6500	281.2486	3443-84-3	5319879		HMDB11537
131	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100010896	1831	257.0779	2140-76-3	102212		
132	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100003109	2378	192.0655	2971-31-5	3080590		HMDB35514
133	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100002784	1760	174.0873	3715-10-04 00:00:00	558	C03771	HMDB04225
134	2-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	LC/MS Neg	100008953	6016	253.2173		.		HMDB11565
135	2-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	LC/MS Neg	100001048	6400	255.2329	23470-00-0	123409		HMDB11533
136	2-piperidinone	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100004295	1675	100.0757	675-20-7	12665		HMDB11749
137	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	LC/MS Neg	100003901	6350	480.3096		.		HMDB11129
138	3-(2-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001623	2530	165.0557	495-78-3	873	C01198	HMDB33752
139	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001624	1980	165.0557	621-54-5	91	C11457	HMDB00375
140	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100005391	1294	245.0125	86321-32-6	187488		
141	3-(4-hydroxyphenyl)lactate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	240	1379	181.0506	6482-98-0	9378	C03672	HMDB00755
142	3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100002914	1670	165.0557	501-97-3	10394	C01744	HMDB02199
143	3,4-dihydroxyphenylacetate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	100000449	1040	123.0452	102-32-9	547	C01161	HMDB01336
144	3,7-dimethylurate	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001398	1418.2	195.0524	13087-49-5	83126	C16360	HMDB01982
145	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	LC/MS Pos Early	1114	2190	104.0706	10569-72-9;214139-20-5	64956	C05145	HMDB03911
146	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	LC/MS Neg	100006370	5398	415.3218	6561-58-6	165511	C17333	
147	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100004182	5205	373.2748	5255-17-4	92997		HMDB00308
148	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100020004	4000	267.1238		194501		
149	3-carboxyadipate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100009325	571	189.0405	923-42-2	222467		
150	3-dehydrocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001062	5050	405.2646	2304-89-4	159655		HMDB00502
151	3-dehydroshikimate	Xenobiotics	Food Component/Plant	LC/MS Polar	100001679	1962	171.0299	2922-42-1	80	C02637	
152	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	LC/MS Polar	112	2850	161.0456	503-49-1	1662	C03761	HMDB00355
153	3-hydroxyadipate*	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100004396	3131	161.0455		151913		HMDB00345
154	3-hydroxybenzoate	Xenobiotics	Benzoate Metabolism	LC/MS Polar	100000013	1180	137.0244	99-06-9	7420	C00587	HMDB02466
155	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	LC/MS Polar	254	1444	103.0401	625-72-9	441	C01089	HMDB00357
156	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000997	4634.7	187.134	5561-87-5	26612		HMDB02203
157	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100006367	1725	131.0714	10191-24-9	151492		
158	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100002122	1687	194.0459	1637-75-8	450268		HMDB06116
159	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	111	1619	103.0401	2068-83-9	87	C06001	HMDB00336
160	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001112	5175	215.1653	53941-38-1	94216		HMDB00387
161	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000773	3446	159.1027	88930-08-9	26613		HMDB01954
162	3-hydroxyoleate*	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100019966	5508	297.2435		.		
163	3-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000983	5476	271.2279	928-17-6	301590		HMDB10734
164	3-hydroxypalmitoylcarnitine	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100019800	1380	416.3371		.		
165	3-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	LC/MS Polar	114	1220	151.0401	621-37-4	12122	C05593	HMDB00440
166	3-hydroxypropanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Polar	115	1845	89.0244	503-66-2	68152	C01013	HMDB00700
167	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001145	1282	217.1081	73141-46-5	3017884		HMDB00350
168	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100020203	1049	160.0968		442640		
169	3-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100008933	5674	299.2592	45261-96-9	5282907		
170	3-hydroxysuberate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001143	644	189.0768	73141-47-6	22328017		HMDB00325
171	3-hydroxyvalerate	Lipid	Fatty Acid, Monohydroxy	LC/MS Polar	100002459	1241	117.0557	10237-77-1	107802		HMDB00531
172	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100000467	2222.2	212.0023	2642-37-7	10258		HMDB00682
173	3-ketosphinganine	Lipid	Sphingolipid Metabolism	LC/MS Pos Late	100001436	1400	300.2897	18944-28-0	631	C02934	HMDB01480
174	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	100000936	911	115.0401	3715-29-5	49	C00141	HMDB00019
175	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000036	2064.2	129.0557	1460-34-0;51829-07-3	47	C00671	HMDB03736
176	3-methyladipate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100001765	2865	159.0663	3058-01-03 00:00:00	12292		HMDB00555
177	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	100002458	2700	99.0452	5746-90-7	1551553		HMDB00522
178	3-methylglutarate/2-methylglutarate	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100010834	2832	145.0506		.		HMDB00752
179	3-methylhistidine	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100000042	2670	170.0924	368-16-1	64969	C01152	HMDB00479
180	3-methylurate*	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100004049	1024	181.0367	605-99-2	11804		
181	3-methylxanthine	Xenobiotics	Xanthine Metabolism	LC/MS Neg	100001108	1700	165.0418	1076-22-8	70639	C16357	HMDB01886
182	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100000010	2860	149.0608	501-52-0	107	C05629	HMDB00764
183	3-sulfo-L-alanine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Polar	382	2890	167.9972	498-40-8	72886	C00506	HMDB02757
184	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Pos Early	1053	875	133.0608	462-88-4	111	C02642	HMDB00026
185	4-acetamidobenzoate	Xenobiotics	Chemical	LC/MS Neg	100009413	1403	178.051	556-08-1	19266	D03836	
186	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	1113	1350	146.0812	3025-96-5	18189	C02946	HMDB03681
187	4-cholesten-3-one	Lipid	Sterol	LC/MS Pos Late	100002227	2520	385.3465	601-57-0	91477	C00599	HMDB00921
188	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001756	3580	201.0227	123-07-9	.	C13637	
189	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	LC/MS Pos Early	100000096	2320	146.0924	463-003;463-00-3	500	C01035	HMDB03464
190	4-hydroxybenzoate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100000862	820	137.0244	99-96-7	135	C00156	HMDB00500
191	4-hydroxychlorothalonil	Xenobiotics	Chemical	LC/MS Neg	100006082	4427	244.9082	28343-61-5	34217		
192	4-hydroxycinnamate	Xenobiotics	Food Component/Plant	LC/MS Neg	100001675	1457	163.0401	501-98-4	637542	C00811	HMDB02035
193	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001423	1475	194.0459	2482-25-9	151012		HMDB13678
194	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	LC/MS Neg	144	1361	151.0401	156-38-7	127	C00642	HMDB00020
195	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	1141	1690	179.035	156-39-8	979	C01179	HMDB00707
196	4-imidazoleacetate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100001207	2055	127.0502	645-65-8	96215	C02835	HMDB02024
197	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000551	2170	129.0557	816-66-0	70	C00233	HMDB00695
198	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100004111	2665	203.002		.		
199	4-methylthio-2-oxobutanoate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Neg	100003712	1635	147.0121	583-92-6	473	C01180	HMDB01553
200	4-ureidobutyrate	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Pos Early	100000718	1095	147.0764	2609-10-01 00:00:00	1571307		
201	5-(2-Hydroxyethyl)-4-methylthiazole	Cofactors and Vitamins	Thiamine Metabolism	LC/MS Pos Early	100000098	2310	144.0478	137-00-8	1136	C04294	
202	5,6-dihydrouridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100001425	1119	245.0779	5627-05-04 00:00:00	94312		
203	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	LC/MS Polar	100001403	1710	197.068	1196153-01-1	88299	C16366	HMDB04400
